experiment_family,training_sequence,train_dataset_name,eval_dataset_name,experiment_id,prediction_mode,shared_10_eval,train_num_keypoints,eval_num_keypoints,train_hand,train_input_size,tips_bases_only,lambda_hm,lambda_coord,heatmap_sigma,wing_w,wing_epsilon,n,num_seeds,fusion_diagnostics.heatmap_selection_rate_mean,fusion_diagnostics.heatmap_selection_rate_std,fusion_diagnostics.coord_selection_rate_mean,fusion_diagnostics.coord_selection_rate_std,fusion_diagnostics.alpha_mean_mean,fusion_diagnostics.alpha_mean_std,fusion_diagnostics.alpha_median_mean,fusion_diagnostics.alpha_median_std,fusion_diagnostics.disagreement_mean_mean,fusion_diagnostics.disagreement_mean_std,fusion_diagnostics.disagreement_median_mean,fusion_diagnostics.disagreement_median_std,fusion_diagnostics.fusion_matches_lower_error_branch_rate_mean,fusion_diagnostics.fusion_matches_lower_error_branch_rate_std
ablation,rhd,rhd,rhd,B0,fusion,False,21,21,right,256,False,1.0,1.0,2.0,10.0,2.0,5,5,0.426117162407485,0.024568764830981044,0.573882837592515,0.024568764830981044,0.06494805262235602,0.006553331022990915,0.058948355913162234,0.006189136350573598,0.16304454353331455,0.02235335298082869,0.06388492435216904,0.004847170047045841,0.481189640597382,0.012059402399921206
ablation,rhd,rhd,rhd,B1,fusion,False,10,10,right,256,True,1.0,1.0,2.0,10.0,2.0,5,5,0.5014002932551319,0.05340333795804358,0.4985997067448681,0.05340333795804356,0.08359845909904526,0.0026660759362549043,0.07607985734939575,0.003438039715459413,0.1714136294535528,0.017796586407236598,0.0661343738436699,0.011489763758897062,0.5292798110979928,0.0372889687698246
ablation,rhd,rhd,rhd,E1,fusion,False,21,21,right,256,False,1.0,1.0,2.0,10.0,1.0,5,5,0.4028732020667505,0.040067174882557614,0.5971267979332495,0.04006717488255763,0.05717757802205351,0.002272977018144743,0.05230019092559814,0.001988403431106618,0.15492114330899565,0.013983677298650327,0.058610043674707415,0.005187590820259796,0.48726080385275505,0.018881752416641927
ablation,rhd,rhd,rhd,E2,fusion,False,21,21,right,256,False,1.0,1.0,2.0,10.0,4.0,5,5,0.4413524647395615,0.008402054326563794,0.5586475352604385,0.008402054326563834,0.07321064477442296,0.005307200573153137,0.06630110815167427,0.0038635289732590343,0.16512925502658307,0.023294319072421733,0.07002934962511062,0.004607992349437021,0.48781924840535906,0.013829958226217963
ablation,rhd,rhd,rhd,L1,fusion,False,21,21,right,256,False,1.5,0.5,2.0,10.0,2.0,5,5,0.42065703114090214,0.015547320776366409,0.579342968859098,0.015547320776366428,0.05894104951987169,0.008324872030681416,0.05400722175836563,0.007489755876805734,0.16056674029836776,0.009098687924386548,0.059626060724258426,0.010721928149467486,0.4704562338294439,0.007168962363190561
ablation,rhd,rhd,rhd,L2,fusion,False,21,21,right,256,False,0.5,1.5,2.0,10.0,2.0,5,5,0.38480310012568075,0.06072127385040829,0.6151968998743192,0.06072127385040831,0.06591090191144747,0.00392650276739373,0.05928266942501068,0.00341566073653268,0.1869858730972987,0.05110882167043124,0.07346164882183075,0.014188406092983413,0.5067448830596614,0.04574638309103156
ablation,rhd,rhd,rhd,S1,fusion,False,21,21,right,256,False,1.0,1.0,1.5,10.0,2.0,5,5,0.39656821672950704,0.05662608693241118,0.603431783270493,0.05662608693241118,0.0561712952303397,0.0037578748695610035,0.05109754353761673,0.0037486581634514882,0.169352028853,0.042323628524963325,0.06277518644928932,0.015007163690395122,0.4971386120859697,0.041800115649268825
ablation,rhd,rhd,rhd,S2,fusion,False,21,21,right,256,False,1.0,1.0,3.0,10.0,2.0,5,5,0.44341223292836196,0.018314107377884144,0.556587767071638,0.018314107377884123,0.07318985722631303,0.006459265489965183,0.06329959332942962,0.004309962887752593,0.15873365446169804,0.010731571782634158,0.06467969417572021,0.006400554965074465,0.4776084227783898,0.0077195346429543175
ablation,rhd,rhd,rhd,W1,fusion,False,21,21,right,256,False,1.0,1.0,2.0,5.0,2.0,5,5,0.43885630498533723,0.02912374230048335,0.5611436950146628,0.029123742300483327,0.060938399365920125,0.005169906591990668,0.05586487352848053,0.004656793602848149,0.15903492834194796,0.01492859547220821,0.05886104106903076,0.006566329237691376,0.4846427748033917,0.008711380742158898
ablation,rhd,rhd,rhd,W2,fusion,False,21,21,right,256,False,1.0,1.0,2.0,15.0,2.0,5,5,0.4138667783829074,0.03404121539994834,0.5861332216170926,0.034041215399948366,0.06257622631763783,0.0030687855308801568,0.056394191831350325,0.0023640501324389044,0.16334805722310547,0.025366882594613338,0.06328883916139602,0.007161321288965913,0.4843712375438686,0.02577259746073324
